original_filename,new_path,catalog_key,recommended_use,source,creator_inferred,asset_id_inferred,duration_sec,sample_rate_hz,channels,bitrate_bps,quality_note
freesound_community-umph-47201.mp3,assets/audio/sfx/combat/hurt-grunt-01.mp3,combat.hurt_grunt,피격/충돌 시 짧은 신음·충격 반응,Pixabay (사용자 제공 정보),Freesound Community,47201,1.608,24000,2,160000,보통 샘플레이트 — 짧은 효과음 용도에는 무난
49053354-launching-missile-313226.mp3,assets/audio/sfx/combat/missile-launch-01.mp3,combat.missile_launch,미사일·로켓·강한 투사체 발사,Pixabay (사용자 제공 정보),49053354,313226,2.016,8000,1,64000,"낮은 샘플레이트 — 레트로/효과용 권장, 핵심 효과음은 교체 후보"
djartmusic-arrow-swish_03-306040.mp3,assets/audio/sfx/combat/projectile-whoosh-01.mp3,combat.projectile_whoosh,화살·검격·빠른 투사체가 지나가는 소리,Pixabay (사용자 제공 정보),DJArtMusic,306040,1.045,44100,2,256000,
virtual_vibes-thud-impact-sound-sfx-379990.mp3,assets/audio/sfx/combat/impact-heavy-01.mp3,combat.impact_heavy,무거운 착지·벽 충돌·강타,Pixabay (사용자 제공 정보),Virtual Vibes,379990,2.136,48000,2,256000,
universfield-cash-register-open-567194.mp3,assets/audio/sfx/shop/register-open-01.mp3,shop.register_open,상점 열기·결제창·판매 완료,Pixabay (사용자 제공 정보),Universfield,567194,2.09,44100,2,256000,
modestas123123-cash-register-kaching-sound-effect-125042.mp3,assets/audio/sfx/shop/purchase-kaching-01.mp3,shop.purchase,구매 성공·씨앗 소비·보상 결제,Pixabay (사용자 제공 정보),modestas123123,125042,3.187,44100,2,255999,
emand_edroff-victory-bell-success-fanfare-576275.mp3,assets/audio/sfx/success/victory-fanfare-01.mp3,success.victory_fanfare,스테이지 클리어·보스 격파·큰 성공,Pixabay (사용자 제공 정보),Emand Edroff,576275,6.72,48000,2,256000,
freesound_gamestudio-drop-coin-384921.mp3,assets/audio/sfx/collect/coin-drop-01.mp3,collect.coin_drop,코인/씨앗 떨어짐·보상 생성,Pixabay (사용자 제공 정보),Freesound Gamestudio,384921,1.097,44100,2,256000,
chieuk-coin-257878.mp3,assets/audio/sfx/collect/coin-pickup-01.mp3,collect.coin_pickup,코인/씨앗 획득·아이템 줍기,Pixabay (사용자 제공 정보),Chieuk,257878,1.358,44100,2,255999,
freesound_community-cartoon-jump-6462.mp3,assets/audio/sfx/movement/jump-cartoon-01.mp3,movement.jump,점프·바운스·발판 튀기,Pixabay (사용자 제공 정보),Freesound Community,6462,1.776,24000,2,160000,보통 샘플레이트 — 짧은 효과음 용도에는 무난
olivia_parker-fail-2-demo-306647.mp3,assets/audio/sfx/failure/fail-sting-01.mp3,failure.fail_sting,오답·실패·게임오버 직전 짧은 실패음,Pixabay (사용자 제공 정보),Olivia Parker,306647,2.184,48000,2,256000,
ejah_music-dog-whimpering-in-disappoint-1-405865.mp3,assets/audio/sfx/failure/disappointed-dog-01.mp3,failure.disappointed_dog,귀여운 실패·펫/동물 반응,Pixabay (사용자 제공 정보),Ejah Music,405865,1.656,48000,2,256000,
freesound_community-oh-disappointed-89251.mp3,assets/audio/sfx/failure/disappointed-voice-01.mp3,failure.disappointed_voice,오답·실패 때 사람 목소리 반응,Pixabay (사용자 제공 정보),Freesound Community,89251,0.627,44100,1,255999,
freesound_community-woo-hoo-82843.mp3,assets/audio/sfx/success/cheer-woohoo-01.mp3,success.cheer_woohoo,기록 갱신·연속 정답·큰 성공 반응,Pixabay (사용자 제공 정보),Freesound Community,82843,1.332,44100,1,255999,
freesound_community-yay-6326.mp3,assets/audio/sfx/success/cheer-yay-01.mp3,success.cheer_yay,정답·작은 성공·보상 획득 반응,Pixabay (사용자 제공 정보),Freesound Community,6326,1.881,44100,1,255999,
freesound_community-ouchmp3-14591.mp3,assets/audio/sfx/combat/hurt-voice-01.mp3,combat.hurt_voice,피격·함정·낙하 데미지 반응,Pixabay (사용자 제공 정보),Freesound Community,14591,0.816,24000,2,160000,보통 샘플레이트 — 짧은 효과음 용도에는 무난
